Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.0001
dorp prob,0.1
hid size,200
emb size,300
Slot F1,0.9373900809004572
Intent Accuracy,0.9473684210526315

Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.0001
dorp prob,0.1
hid size,300
emb size,500
Slot F1,0.9390287132222616
Intent Accuracy,0.9428891377379619


Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.0001
dorp prob,0.5
hid size,200
emb size,300
Slot F1,0.9354781686406223
Intent Accuracy,0.9395296752519597


Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.0001
dorp prob,0.5
hid size,300
emb size,500
Slot F1,0.9391487864931412
Intent Accuracy,0.948488241881299

Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.01
dorp prob,0.1
hid size,200
emb size,300
Slot F1,0.9423585404547858
Intent Accuracy,0.9395296752519597


Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.01
dorp prob,0.1
hid size,300
emb size,500
Slot F1,0.9430379746835443
Intent Accuracy,0.9372900335946248


BEST MODEL
Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.01
dorp prob,0.5
hid size,200
emb size,300
Slot F1,0.944385779655051
Intent Accuracy,0.9440089585666294

Model,<class 'model.ModelIAS_Bidirectional'>
lr,0.01
dorp prob,0.5
hid size,300
emb size,500
Slot F1,0.9414668547249648
Intent Accuracy,0.9395296752519597


Model,<class 'model.ModelIAS_Bidirectional'>
lr,1
dorp prob,0.1
hid size,200
emb size,300
Slot F1,0.7572614107883818
Intent Accuracy,0.7603583426651735


Model,<class 'model.ModelIAS_Bidirectional'>
lr,1
dorp prob,0.1
hid size,300
emb size,500
Slot F1,0.7732828369771045
Intent Accuracy,0.7704367301231803


Model,<class 'model.ModelIAS_Bidirectional'>
lr,1
dorp prob,0.5
hid size,200
emb size,300
Slot F1,0.7623830966401108
Intent Accuracy,0.7547592385218365


Model,<class 'model.ModelIAS_Bidirectional'>
lr,1
dorp prob,0.5
hid size,300
emb size,500
Slot F1,0.7817345373998978
Intent Accuracy,0.7357222844344905
